subcategory,hoursPerDay,uncertainty
active_rec,0.42,0.05
adultcare,0.2,0.2
allocation,0.91,0.06
artifacts,0.42,0.02
buildings,0.22,0.08
childcare,0.29,0.03
education_research,1.07,0.07
energy,0.04,0.01
growth_collection,0.81,0.05
hygiene_grooming,1.05,0.2
infrastructure,0.05,0
inhabited,0.75,0.06
interactive,0.88,0.12
material,0.07,0.01
meals,1.6,0.22
moving_artifacts,0.31,0.05
moving_people,0.9,0.22
passive,2.59,0.24
preparation,0.92,0.07
processing,0.07,0.01
religious,0.2,0.05
sleep,9.1,0.39
social,1.12,0.1
waste,0.01,0
